year,state,dem_cand,dem_vote,rep_cand,rep_vote,tot_state_vote
1988,Virginia,"Dukakis, Michael",859799,"Bush, George H.W.",1309162,2191609
1988,Washington,"Dukakis, Michael",933516,"Bush, George H.W.",903835,1865253
1988,West Virginia,"Dukakis, Michael",341016,"Bush, George H.W.",310065,653311
1988,Wisconsin,"Dukakis, Michael",1126794,"Bush, George H.W.",1047499,2191608
1988,Wyoming,"Dukakis, Michael",67113,"Bush, George H.W.",106867,176551
1992,Alabama,"Clinton, Bill",690080,"Bush, George H.W.",804283,1688060
1992,Alaska,"Clinton, Bill",78294,"Bush, George H.W.",102000,258506
1992,Arizona,"Clinton, Bill",543050,"Bush, George H.W.",572086,1486975
1992,Arkansas,"Clinton, Bill",505823,"Bush, George H.W.",337324,950653
1992,California,"Clinton, Bill",5121325,"Bush, George H.W.",3630574,11131721
1992,Colorado,"Clinton, Bill",629681,"Bush, George H.W.",562850,1569180
1992,Connecticut,"Clinton, Bill",682318,"Bush, George H.W.",578313,1616156
1992,Delaware,"Clinton, Bill",126054,"Bush, George H.W.",102313,289620
1992,District of Columbia,"Clinton, Bill",192619,"Bush, George H.W.",20698,227572
1992,Florida,"Clinton, Bill",2071698,"Bush, George H.W.",2173310,5313392
1992,Georgia,"Clinton, Bill",1008966,"Bush, George H.W.",995252,2321133
1992,Hawaii,"Clinton, Bill",179310,"Bush, George H.W.",136822,372842
1992,Idaho,"Clinton, Bill",137013,"Bush, George H.W.",202645,482114
1992,Illinois,"Clinton, Bill",2453350,"Bush, George H.W.",1734096,5050157
1992,Indiana,"Clinton, Bill",848420,"Bush, George H.W.",989375,2305871
1992,Iowa,"Clinton, Bill",586353,"Bush, George H.W.",504891,1354607
1992,Kansas,"Clinton, Bill",390434,"Bush, George H.W.",449951,1157236
1992,Kentucky,"Clinton, Bill",665104,"Bush, George H.W.",617178,1492900
1992,Louisiana,"Clinton, Bill",815971,"Bush, George H.W.",733386,1790017
1992,Maine,"Clinton, Bill",263420,"Bush, George H.W.",206504,679499
1992,Maryland,"Clinton, Bill",988571,"Bush, George H.W.",707094,1984580
1992,Massachusetts,"Clinton, Bill",1318639,"Bush, George H.W.",805039,2773664
1992,Michigan,"Clinton, Bill",1871182,"Bush, George H.W.",1554940,4274673
1992,Minnesota,"Clinton, Bill",1020997,"Bush, George H.W.",747841,2347948
1992,Mississippi,"Clinton, Bill",400258,"Bush, George H.W.",487793,981793
1992,Missouri,"Clinton, Bill",1053873,"Bush, George H.W.",811159,2391270
1992,Montana,"Clinton, Bill",154507,"Bush, George H.W.",144207,410583
1992,Nebraska,"Clinton, Bill",216864,"Bush, George H.W.",343678,737546
1992,Nevada,"Clinton, Bill",189148,"Bush, George H.W.",175828,506318
1992,New Hampshire,"Clinton, Bill",209040,"Bush, George H.W.",202484,537215
1992,New Jersey,"Clinton, Bill",1436206,"Bush, George H.W.",1356865,3343594
1992,New Mexico,"Clinton, Bill",261617,"Bush, George H.W.",212824,569986
1992,New York,"Clinton, Bill",3346894,"Bush, George H.W.",2041690,7079432
1992,North Carolina,"Clinton, Bill",1114042,"Bush, George H.W.",1134661,2611850
1992,North Dakota,"Clinton, Bill",99168,"Bush, George H.W.",136244,308133
1992,Ohio,"Clinton, Bill",1984942,"Bush, George H.W.",1894310,4939967
1992,Oklahoma,"Clinton, Bill",473066,"Bush, George H.W.",592929,1390359
1992,Oregon,"Clinton, Bill",621314,"Bush, George H.W.",475757,1462643
1992,Pennsylvania,"Clinton, Bill",2239164,"Bush, George H.W.",1791841,4959810
1992,Rhode Island,"Clinton, Bill",213299,"Bush, George H.W.",131601,453365
